timestamp,open,high,low,close,volume,ema_50,ema_200,rsi_14,return_1h,volatility_24h
2026-08-13 02:00:00+00:00,63456.1,63582.0,63380.0,63550.01,458.1649,63550.01,63550.01,,,
2026-08-13 03:00:00+00:00,63550.01,63686.4,63514.21,63646.99,401.71819,63553.8131372549,63550.97497512438,,0.0015260422460987577,
2026-08-13 04:00:00+00:00,63647.0,63778.0,63591.56,63693.74,223.42484,63559.3004652057,63552.39552263558,,0.0007345202027622122,
2026-08-13 05:00:00+00:00,63693.73,64010.0,63671.64,63878.0,500.10882,63571.79848617803,63555.635368181494,,0.0028929059590472317,
2026-08-13 06:00:00+00:00,63878.01,63942.36,63757.47,63942.35,256.03719,63586.32991809261,63559.483274965765,,0.001007389085444066,
2026-08-13 07:00:00+00:00,63942.36,63947.09,63856.13,63865.84,533.09585,63597.29109777526,63562.531600588,,-0.0011965465767210803,
2026-08-13 08:00:00+00:00,63865.84,63915.0,63742.0,63766.8,439.81868,63603.93850570564,63564.56412197519,,-0.0015507507612831928,
2026-08-13 09:00:00+00:00,63766.8,63786.49,63587.99,63782.64,337.82326,63610.94640744268,63566.73403120927,,0.00024840512617840815,
2026-08-13 10:00:00+00:00,63782.65,63818.16,63586.0,63651.19,317.79982,63612.52458754297,63567.57438910769,,-0.002060905600646201,
2026-08-13 11:00:00+00:00,63651.2,63660.76,63350.0,63484.3,355.63538,63607.49617234521,63566.74578822105,,-0.0026219462668333193,
2026-08-13 12:00:00+00:00,63484.31,63710.0,63450.0,63697.76,384.47294,63611.035930292455,63568.049412218854,,0.003362406138210483,
2026-08-13 13:00:00+00:00,63697.76,63850.0,63566.0,63724.0,561.86509,63615.4658938104,63569.60115936096,,0.00041194541220912484,
2026-08-13 14:00:00+00:00,63723.99,63999.0,63686.0,63859.45,669.38212,63625.033897974696,63572.48522742702,,0.0021255727826250403,
2026-08-13 15:00:00+00:00,63859.46,63940.08,63420.0,63420.01,505.15868,63616.993745112944,63570.96806098497,,-0.006881362116335055,
2026-08-13 16:00:00+00:00,63420.01,63568.97,62802.27,63160.13,1752.37181,63599.0775198144,63566.88012007965,49.84416472954224,-0.004097760312557597,
2026-08-13 17:00:00+00:00,63160.13,63294.61,63074.44,63144.38,644.48394,63581.24624452756,63562.676138785326,49.406985376630686,-0.00024936617451543075,
2026-08-13 18:00:00+00:00,63144.37,63369.63,63105.44,63310.0,325.89181,63570.60913689903,63560.161948349654,53.97814460380185,0.0026228779188266493,
2026-08-13 19:00:00+00:00,63310.0,63519.39,63310.0,63407.99,349.14796,63564.23191584417,63558.647799609855,56.48335855653296,0.0015477807613331063,
2026-08-13 20:00:00+00:00,63408.0,63474.34,63368.0,63415.55,239.68311,63558.40125247773,63557.22394090727,56.67928858408759,0.00011922787648699362,
2026-08-13 21:00:00+00:00,63415.56,63500.0,63390.0,63474.0,188.33344,63555.09139943939,63556.39584199278,58.24461712368488,0.0009216982270121576,
2026-08-13 22:00:00+00:00,63474.0,63640.0,63473.99,63530.01,226.97651,63554.107815147654,63556.13329630132,59.745644261984864,0.0008824085452312502,
2026-08-13 23:00:00+00:00,63530.01,63539.03,63400.0,63490.86,397.80966,63551.62750867128,63555.48381076598,58.17152582216952,-0.0006162441970338772,
2026-08-14 00:00:00+00:00,63490.86,63552.99,63410.0,63541.45,377.80366,63551.22839068417,63555.34417085786,59.650915024327205,0.0007968076034881033,
2026-08-14 01:00:00+00:00,63541.45,63585.92,63458.0,63575.86,310.91391,63552.194336147535,63555.54830846127,60.669836807333,0.0005415362727794193,
2026-08-14 02:00:00+00:00,63575.86,63617.45,63465.38,63465.39,489.39475,63548.790244533906,63554.65121086465,55.79823293674535,-0.0017376092120500175,0.0023092456549013906
2026-08-14 03:00:00+00:00,63465.39,63576.0,63301.58,63310.0,296.84163,63539.425921218855,63552.21687045804,49.74717936740088,-0.002448421100067266,0.002333470867930317
2026-08-14 04:00:00+00:00,63310.0,63472.5,63276.0,63372.56,530.66039,63532.88215960243,63550.42923990622,52.0038854032168,0.0009881535302480593,0.002338543766139138
2026-08-14 05:00:00+00:00,63372.56,63400.3,63286.67,63379.83,201.71573,63526.88011412782,63548.731735031535,52.27211647049499,0.00011471842071708593,0.002245275999655203
2026-08-14 06:00:00+00:00,63379.83,63379.83,62942.0,62974.14,627.73261,63505.204031220856,63543.01440433471,39.13017878696581,-0.006400932283977423,0.0025437263056731904
2026-08-14 07:00:00+00:00,62974.14,63110.0,62920.0,62920.78,730.23378,63482.28544176122,63536.8230172269,37.784596357896014,-0.0008473319365694953,0.002541356831663341
2026-08-14 08:00:00+00:00,62920.78,62997.83,62700.0,62940.01,892.48443,63461.01973816274,63530.88457924454,38.60397916432591,0.00030562240328246837,0.0025399793782521214
2026-08-14 09:00:00+00:00,62940.01,62940.01,62744.0,62792.75,501.14919,63434.8130817642,63523.539956565495,34.82189239728427,-0.002339688220577063,0.0025598900267428492
2026-08-14 10:00:00+00:00,62792.75,62946.0,62739.98,62814.14,598.55074,63410.47296091071,63516.481250530014,35.80569192427242,0.00034064442152947905,0.002549189289052494
2026-08-14 11:00:00+00:00,62814.14,62936.82,62814.0,62868.83,444.92265,63389.23206048284,63510.03695947996,38.36721615922854,0.0008706638346078766,0.0025252431875411874
2026-08-14 12:00:00+00:00,62868.83,62913.3,62726.26,62741.69,486.51649,63363.8382541894,63502.39171610206,34.88249191885322,-0.0020223058071862088,0.0024128799357890306
2026-08-14 13:00:00+00:00,62741.68,62822.33,62605.0,62668.0,987.78817,63336.55047951531,63494.089310966716,33.011041250345215,-0.001174498168602156,0.0024048935226427238
2026-08-14 14:00:00+00:00,62668.0,62797.88,62535.24,62620.01,998.23888,63308.45085286765,63485.392004389934,31.813981622627523,-0.0007657815791153322,0.0023287616668378505
2026-08-14 15:00:00+00:00,62620.01,63089.18,62612.0,62990.95,988.09918,63295.999839029704,63480.472183450736,47.62383543509259,0.005923665614234075,0.0023449848194689728
2026-08-14 16:00:00+00:00,62990.94,63215.58,62966.86,63133.48,566.22185,63289.62651200894,63477.01952490894,52.209106108434256,0.0022627059918924886,0.0022523663038718873
2026-08-14 17:00:00+00:00,63133.49,63247.05,63000.0,63013.69,454.05828,63278.80547232231,63472.40928087999,48.37592343385258,-0.0018974084748694109,0.0022847072238807854
2026-08-14 18:00:00+00:00,63013.7,63088.21,62894.85,62930.01,367.77038,63265.12721850575,63467.01227311004,45.84382881037187,-0.00132796539926483,0.002222696129206272
2026-08-14 19:00:00+00:00,62930.01,62996.0,62830.0,62968.05,394.98545,63253.47713150553,63462.04747437263,47.196878603099265,0.0006044810734973094,0.0021977526683884716
2026-08-14 20:00:00+00:00,62968.06,63020.74,62896.85,62907.59,359.43765,63239.912930270024,63456.53048457788,45.26132412369054,-0.0009601694827774399,0.002200105438734301
2026-08-14 21:00:00+00:00,62907.59,62937.22,62873.25,62928.49,179.646,63227.700266337866,63451.27635040298,46.08445510461212,0.0003322333600763727,0.00218875378626001
2026-08-14 22:00:00+00:00,62928.49,62957.28,62800.0,62886.88,226.57205,63214.33476569717,63445.66046631937,44.645046633424585,-0.0006612267352991141,0.0021733671032057875
2026-08-14 23:00:00+00:00,62886.87,63066.13,62865.03,63043.56,329.09114,63207.63771606198,63441.659466654506,50.8679748765259,0.0024914576776586816,0.0022524060753679387
2026-08-15 00:00:00+00:00,63043.56,63059.5,62992.91,63019.88,208.64233,63200.27466837328,63437.46265604103,49.953943920665054,-0.00037561330610136334,0.0022404446241898984
2026-08-15 01:00:00+00:00,63019.89,63051.78,62993.57,63045.13,485.23532,63194.190563731194,63433.55884851824,50.96571137008568,0.00040066721802700656,0.0022382155421682088
2026-08-15 02:00:00+00:00,63045.14,63134.82,63035.95,63134.41,243.54429,63191.8462278986,63430.58224306035,54.47064520081229,0.001416128414676976,0.0022455786881029516
2026-08-15 03:00:00+00:00,63134.41,63187.98,63039.99,63051.25,184.46775,63186.33265033395,63426.80779288065,50.82634764819059,-0.0013171897860454473,0.0022082320072977146
2026-08-15 04:00:00+00:00,63051.25,63151.65,63051.25,63122.0,172.30243,63183.80980130125,63423.77487951866,53.6665087955736,0.0011221030510892849,0.002211448893950076
2026-08-15 05:00:00+00:00,63122.01,63155.76,63039.99,63089.0,213.28052,63180.091769877676,63420.443786190124,52.15341636980313,-0.0005227971230316042,0.0022118004244944794
2026-08-15 06:00:00+00:00,63089.0,63134.84,63027.89,63114.68,373.75318,63177.52660243149,63417.4013604569,53.25784239465471,0.00040704401718216765,0.0017736855501127495
2026-08-15 07:00:00+00:00,63114.68,63134.83,63042.0,63075.43,688.73174,63173.52281410085,63413.99866035285,51.308429886822054,-0.0006218838469909116,0.001769072203601341
2026-08-15 08:00:00+00:00,63075.43,63085.8,62933.71,62935.72,177.99645,63164.19721354788,63409.23966870755,44.99510722099503,-0.002214967064037454,0.0018303282900323555
2026-08-15 09:00:00+00:00,62935.72,63045.83,62920.0,63030.38,183.99371,63158.94947968326,63405.46992076022,49.5267361581444,0.0015040743158256653,0.0017844052148111077
2026-08-15 10:00:00+00:00,63030.39,63051.74,63002.12,63046.1,79.58111,63154.524009891764,63401.89410065315,50.25961616825704,0.00024940354159386224,0.0017840983817772806
2026-08-15 11:00:00+00:00,63046.1,63054.69,62996.85,63022.01,175.71191,63149.32738205287,63398.11415935312,49.083431944560154,-0.0003821013512333993,0.0017805759568437125
2026-08-15 12:00:00+00:00,63022.01,63055.36,62946.58,63050.13,109.73402,63145.437288639034,63394.65163040434,50.538510931176326,0.0004461933219837011,0.0017228354837395602
2026-08-15 13:00:00+00:00,63050.12,63080.88,63028.11,63060.35,132.2968,63142.10053222182,63391.32524602221,51.085632892175106,0.00016209324231364342,0.0016976973013945148
2026-08-15 14:00:00+00:00,63060.34,63060.35,62996.77,63040.0,244.03751,63138.09658978175,63387.82947242995,49.90195716849393,-0.0003227067404477646,0.001688424692858725
2026-08-15 15:00:00+00:00,63040.01,63120.09,63032.0,63100.55,214.37562,63136.624174496195,63384.97097021672,53.3644247653095,0.0009605012690356851,0.0012005959123300527
2026-08-15 16:00:00+00:00,63100.55,63124.99,63066.73,63096.63,202.83972,63135.055775496345,63382.101905836455,53.10851566825445,-6.212307182751342e-05,0.0011063402155889834
2026-08-15 17:00:00+00:00,63096.62,63100.69,63066.21,63070.5,96.56413,63132.52417645727,63379.00138936047,51.34110634669192,-0.00041412671326501727,0.0010363362998093999
2026-08-15 18:00:00+00:00,63070.49,63115.58,63044.37,63057.58,294.79086,63129.58518914522,63375.803166580765,50.447147797632326,-0.00020485012803128644,0.0009965648143937535
2026-08-15 19:00:00+00:00,63057.58,63127.4,63057.57,63126.08,516.06271,63129.447730747364,63373.318358953096,54.92810426855054,0.0010863087356032253,0.0010122182642716103
2026-08-15 20:00:00+00:00,63126.07,63126.08,63076.96,63103.29,55.31906,63128.42193738473,63370.631509610284,53.20430274131171,-0.0003610235262510031,0.000991993722695005
2026-08-15 21:00:00+00:00,63103.29,63168.95,63103.29,63159.04,170.99952,63129.622645722586,63368.52612145496,56.7777338498292,0.0008834721612771546,0.0010032004614789424
2026-08-15 22:00:00+00:00,63159.04,63175.0,63135.52,63135.52,95.56932,63129.85391451778,63366.207652584766,54.87392794760298,-0.0003723932472692315,0.0009947062006483937
2026-08-15 23:00:00+00:00,63135.52,63139.96,63086.0,63086.01,85.33037,63128.13454532101,63363.41961624064,50.997482769657125,-0.0007841861443446119,0.0008796730197848047
2026-08-16 00:00:00+00:00,63086.01,63086.01,63061.47,63085.82,94.57372,63126.475151386854,63360.657431004416,50.98259824668966,-3.011761244731126e-06,0.0008755104925346293
2026-08-16 01:00:00+00:00,63085.81,63085.82,63012.0,63084.78,180.55557,63124.8400474109,63357.9123819397,50.89503416195302,-1.648547962129765e-05,0.0008722553714069503
2026-08-16 02:00:00+00:00,63084.78,63151.59,63024.22,63121.91,245.34897,63124.72514359087,63355.56409953234,53.936856950030624,0.0005885730282328971,0.0008302828847789178
2026-08-16 03:00:00+00:00,63121.92,63130.01,63115.61,63130.0,105.94774,63124.932000704954,63353.319680631525,54.59679513953294,0.0001281646895665567,0.0007822150887187495
2026-08-16 04:00:00+00:00,63130.01,63158.8,63090.0,63090.01,130.32114,63123.562510481235,63350.699683809326,50.72792330972338,-0.000633454775859299,0.0007595813007915748
2026-08-16 05:00:00+00:00,63090.0,63094.0,63040.0,63069.43,235.12057,63121.43966693295,63347.900980487844,48.81096258823497,-0.00032620061401167355,0.0007549788952975739
2026-08-16 06:00:00+00:00,63069.43,63083.79,63043.21,63069.31,280.31849,63119.39536626892,63345.128930930754,48.799382789295564,-1.9026650470710393e-06,0.0007496910471168256
2026-08-16 07:00:00+00:00,63069.32,63069.32,63054.34,63061.02,146.93998,63117.106136219154,63342.301976394134,47.953018053130435,-0.0001314426937603086,0.0007394617362882135
2026-08-16 08:00:00+00:00,63061.03,63079.76,63061.02,63072.42,108.9221,63115.35373872036,63339.6165835942,49.25636432933936,0.0001807772852389089,0.0005713559543549661
2026-08-16 09:00:00+00:00,63072.43,63072.43,62968.45,62992.69,290.93169,63110.543396025445,63336.1645777873,41.44029052015794,-0.0012641024397034295,0.0005527058172227876
2026-08-16 10:00:00+00:00,62992.68,63013.62,62968.45,63008.57,133.29459,63106.54443931857,63332.904930247125,43.36782844333028,0.0002520927428246722,0.0005527640878754833
2026-08-16 11:00:00+00:00,63008.56,63013.66,62981.93,63013.66,213.61707,63102.90191228647,63329.72836377701,44.00405611641417,8.078266178723759e-05,0.000547803403144747
2026-08-16 12:00:00+00:00,63013.66,63025.42,62997.77,63021.98,78.74312,63099.728503961516,63326.66619100311,45.08995985584641,0.00013203486355184424,0.0005402451517191234
